,created_at,favorites,retweets,text,tweet_id,user_id,user_name,user_screen_name
0,1582154162000.0,1,0,"A quick comparison of #Earnings between #XOM, #MSFT, and #AAPL in 1998 vs 2019 tells me this is no bubble. Tech is now much more valuable than energy. The better energy play nowadays is that which fuels technology",1230269843821268993,288553398,x-Ramon Figueroa,288553398
1,1582150998000.0,0,0,"Apple Inc price at close, 2020-02-19, is 324.11. #apple #AAPL",1230256572137385993,2321091087,Apple Stock Bot,2321091087
2,1582149009000.0,0,0,https://www.marketbeat.com/n/4280126/  How major US stock indexes fared Wednesday $AAPL #AAPL #Stockindicesandaverages #Stockmarkets #Financialmarkets,1230248228978819089,935657036527951872,MarketBeat,935657036527951872
3,1582149004000.0,0,1,How major US stock indexes fared Wednesday $AAPL #AAPL #Stockindicesandaverages #Stockmarkets #Financialmarkets http://zpr.io/t8T2T ,1230248208707805185,992182100,MarketBeat,992182100
4,1582147128000.0,1,0,"$AAPL dominated by bulls lifting the market higher throughout the day: https://techniquant.com/reports/stock-aapl-daily-technical-analysis-report-for-2020-02-19/ …
Sentiment: Bullish #AAPL #Apple",1230240339811803136,931115585790009346,TQ Equities,931115585790009346
5,1582143839000.0,1,0,"Short #Amzn #aapl #fb #tesla and #nasdaq
Let's see what happens...pic.twitter.com/LUQVkTk6Ht",1230226543445762049,78901257,Wil Gommans,78901257
6,1582139121000.0,1,0,"The Coronavirus effect on China is beginning to work its way through to currencies and the demand for specific commodities
https://hubs.ly/H0n46Kb0 
#Cocoa #Coffee #Sugar #OrangeJuice #AAPL #SBUX #SoftsSector #Commodities #TradersEXPO #TradeWiser",1230206756573368320,101806773,TradersEXPO,101806773
7,1582137010000.0,0,0,#AAPL is now net positive on news that #COVID #coronavavirus is going to negatively impact their sales. Yep.,1230197900703158276,1223083819072479233,WallStreetBooyah,1223083819072479233
8,1582135948000.0,0,0,Good day today to from one of our members! He followed our alerts. Join our discord. #SPCE #TSLA #ENPH #SPY #LK #TMUS #AAPL #MST #NVDApic.twitter.com/Nnpq3uLLXH,1230193447488778240,1227727852512141318,Betterbull,1227727852512141318
9,1582134380000.0,1,0,$AAPL #AAPL  Black Cat   https://twitter.com/MarketSwingPlay/status/1229763771331162114 …,1230186872518926337,2234758370,MarketSwingPlayer,2234758370
10,1582133429000.0,3,1,"$ES_F

So far a lot of strength..

yesterday, #AAPL was a big deal
today, .. #AAPL , what appl ?

50% chance HOD is in...
If 3392 tested again later in the day
3394 may be possible..

Current @ 3390

#es_f #spxpic.twitter.com/qN21vcO5vP",1230182882481713153,1485856448,Spider*Man,1485856448
11,1582133055000.0,0,0,"Wow, a full day from the earnings warning to unchanged... - all is well, nothing to see here - keep buying iGadgets on your 24%APR credit card, please.

#AAPL #Applepic.twitter.com/2b77y60797",1230181312801202178,257134702,Alex James,257134702
12,1582132359000.0,0,0,"China should consult these guys at GS on the Corona issue, seems they have the 
#AAPL #NASDAQ #SPX #DJIApic.twitter.com/rQVWtWBl8e",1230178392873558017,438614859,𝒫ℴ𝓅𓁹𝒞𝒽𝒶𝓇𝓉𝓈,438614859
13,1582131059000.0,1,0,"U.S. stock traders are filtering back to their desks after a long “holiday” weekend to see something a tad unusual 
https://hubs.ly/H0n3RB_0 
#TechnologySector #Technicals #Rsi #ChineseTechManufacturing #Nasdaq100 #Coronavirus #Stocks #AAPL #TradersEXPO #TradeWiser",1230172943197573120,101806773,TradersEXPO,101806773
14,1582130759000.0,2,1,IPhone 9 delayed. That should be good for another +25$ in #AAPL,1230171682247192578,862663692634263552,Grigoriy Isaev,862663692634263552
15,1582130395000.0,0,0,"Forgot to mention the bullish news from #AAPL

AAPL +1.69% so far today pic.twitter.com/raeIDxtGZL",1230170156787228676,1152192894503141376,Sivert Wallin,1152192894503141376
16,1582130196000.0,2,0,Short sell.. my ugly story on #AAPL actually,1230169320203964418,193279352,Nyame te ase ♥️💙,193279352
17,1582129803000.0,2,1,The latest Market Snapshot column from MarketWatch https://zcu.io/iREu   -  I am watching  #BCRX  and  #PLUG very closely!  #etrade #marketwatch #future #stock #GOOGL #AAPL #AMZN (V - VISA)  TSLA BYND NKE let's go!!pic.twitter.com/uryf6smRC0,1230167672517562368,724125342,YWPN Network News,724125342
18,1582129161000.0,0,0,$AAPL NO strong Sell/SHORT signal from our models on #Apple yet. #AAPL #aaplestock #stocks #algotrading #OrbitX #QTM,1230164980676296704,1062847097249030144,QTM,1062847097249030144
19,1582129024000.0,0,0,"New post: Apple’s more affordable ‘iPhone 9’ could be delayed because of t 
#AAPL #Affordable #Apples #coronavirushttps://lateststories.readuseful.com/apples-more-affordable-iphone-9-could-be-delayed-because-of-the-coronavirus-after-all-says-a-new-report-aapl-readuseful/ …",1230164405272399872,898950281148289026,Read Useful,898950281148289026
20,1582154162000.0,1,0,"A quick comparison of #Earnings between #XOM, #MSFT, and #AAPL in 1998 vs 2019 tells me this is no bubble. Tech is now much more valuable than energy. The better energy play nowadays is that which fuels technology",1230269843821268993,288553398,x-Ramon Figueroa,288553398
21,1582150998000.0,0,0,"Apple Inc price at close, 2020-02-19, is 324.11. #apple #AAPL",1230256572137385993,2321091087,Apple Stock Bot,2321091087
22,1582149009000.0,0,0,https://www.marketbeat.com/n/4280126/  How major US stock indexes fared Wednesday $AAPL #AAPL #Stockindicesandaverages #Stockmarkets #Financialmarkets,1230248228978819089,935657036527951872,MarketBeat,935657036527951872
23,1582149004000.0,0,1,How major US stock indexes fared Wednesday $AAPL #AAPL #Stockindicesandaverages #Stockmarkets #Financialmarkets http://zpr.io/t8T2T ,1230248208707805185,992182100,MarketBeat,992182100
24,1582147128000.0,1,0,"$AAPL dominated by bulls lifting the market higher throughout the day: https://techniquant.com/reports/stock-aapl-daily-technical-analysis-report-for-2020-02-19/ …
Sentiment: Bullish #AAPL #Apple",1230240339811803136,931115585790009346,TQ Equities,931115585790009346
25,1582143839000.0,1,0,"Short #Amzn #aapl #fb #tesla and #nasdaq
Let's see what happens...pic.twitter.com/LUQVkTk6Ht",1230226543445762049,78901257,Wil Gommans,78901257
26,1582139121000.0,1,0,"The Coronavirus effect on China is beginning to work its way through to currencies and the demand for specific commodities
https://hubs.ly/H0n46Kb0 
#Cocoa #Coffee #Sugar #OrangeJuice #AAPL #SBUX #SoftsSector #Commodities #TradersEXPO #TradeWiser",1230206756573368320,101806773,TradersEXPO,101806773
27,1582137010000.0,0,0,#AAPL is now net positive on news that #COVID #coronavavirus is going to negatively impact their sales. Yep.,1230197900703158276,1223083819072479233,WallStreetBooyah,1223083819072479233
28,1582135948000.0,0,0,Good day today to from one of our members! He followed our alerts. Join our discord. #SPCE #TSLA #ENPH #SPY #LK #TMUS #AAPL #MST #NVDApic.twitter.com/Nnpq3uLLXH,1230193447488778240,1227727852512141318,Betterbull,1227727852512141318
29,1582134380000.0,1,0,$AAPL #AAPL  Black Cat   https://twitter.com/MarketSwingPlay/status/1229763771331162114 …,1230186872518926337,2234758370,MarketSwingPlayer,2234758370
30,1582133429000.0,3,1,"$ES_F

So far a lot of strength..

yesterday, #AAPL was a big deal
today, .. #AAPL , what appl ?

50% chance HOD is in...
If 3392 tested again later in the day
3394 may be possible..

Current @ 3390

#es_f #spxpic.twitter.com/qN21vcO5vP",1230182882481713153,1485856448,Spider*Man,1485856448
31,1582133055000.0,0,0,"Wow, a full day from the earnings warning to unchanged... - all is well, nothing to see here - keep buying iGadgets on your 24%APR credit card, please.

#AAPL #Applepic.twitter.com/2b77y60797",1230181312801202178,257134702,Alex James,257134702
