Day,Open,High,Low,Close,Adj Close,Volume
01/04/2019,191.639999,191.679993,188.380005,191.240005,188.259598,27862000
02/04/2019,191.089996,194.460007,191.050003,194.020004,190.996262,22765700
03/04/2019,193.25,196.5,193.149994,195.350006,192.305542,23271800
04/04/2019,194.789993,196.369995,193.139999,195.690002,192.640213,19114300
05/04/2019,196.449997,197.100006,195.929993,197,193.929794,18526600
08/04/2019,196.419998,200.229996,196.339996,200.100006,196.981491,25881700
09/04/2019,200.320007,202.850006,199.229996,199.5,196.390839,35768200
10/04/2019,198.679993,200.740005,198.179993,200.619995,197.493378,21695300
11/04/2019,200.850006,201,198.440002,198.949997,195.849411,20900800
12/04/2019,199.199997,200.139999,196.210007,198.869995,195.77066,27760700
15/04/2019,198.580002,199.850006,198.009995,199.229996,196.125046,17536600
16/04/2019,199.460007,201.369995,198.559998,199.25,196.144745,25696400
17/04/2019,199.539993,203.380005,198.610001,203.130005,199.964279,28906800
18/04/2019,203.119995,204.149994,202.520004,203.860001,200.682907,24195800
22/04/2019,202.830002,204.940002,202.339996,204.529999,201.342468,19439500
23/04/2019,204.429993,207.75,203.899994,207.479996,204.246475,23323000
24/04/2019,207.360001,208.479996,207.050003,207.160004,203.931473,17540600
25/04/2019,206.830002,207.759995,205.119995,205.279999,202.08078,18543200
26/04/2019,204.899994,205,202.119995,204.300003,201.116043,18649100
29/04/2019,204.399994,205.970001,203.860001,204.610001,201.421219,22204700
30/04/2019,203.059998,203.399994,199.110001,200.669998,197.542618,46534900
