,0
0,0.15460238095238096
1,0.07261052631578946
2,0.03798775510204081
3,-0.00679285714285714
4,0.17127767857142867
5,0.3731581818181818
6,0.3447447368421054
7,0.38891830985915493
8,0.04200476190476189
9,0.35979732142857096
10,0.35050722891566266
11,0.23475
12,0.15005479452054796
13,0.27107227272727275
14,0.32160121951219517
15,0.47975514018691584
16,0.4618852941176468
17,0.471894827586207
18,0.33658468899521504
