Date,Open,High,Low,Close price,Adj Close,Volume
03/02/2020,304.299988,313.48999,302.220001,308.660004,307.0979,43496400
04/02/2020,315.309998,319.640015,313.630005,318.850006,317.236298,34154100
05/02/2020,323.519989,324.76001,318.950012,321.450012,319.823181,29706700
06/02/2020,322.570007,325.220001,320.26001,325.209991,323.564117,26356400
07/02/2020,322.369995,323.399994,318,320.029999,319.166016,29421000
10/02/2020,314.179993,321.549988,313.850006,321.549988,320.681915,27337200
11/02/2020,323.600006,323.899994,318.709991,319.609985,318.747131,23580800
12/02/2020,321.470001,327.220001,321.470001,327.200012,326.316681,28432600
13/02/2020,324.190002,326.220001,323.350006,324.869995,323.99295,23686900
14/02/2020,324.73999,325.980011,322.850006,324.950012,324.072754,20028400
18/02/2020,315.359985,319.75,314.609985,319,318.138794,38132800
19/02/2020,320,324.570007,320,323.619995,322.746338,23496000
20/02/2020,322.630005,324.649994,318.209991,320.299988,319.435272,25141500
21/02/2020,318.619995,320.450012,310.5,313.049988,312.204865,32388500
24/02/2020,297.26001,304.179993,289.230011,298.179993,297.375,55548800
25/02/2020,300.950012,302.529999,286.130005,288.079987,287.302277,57668400
26/02/2020,286.529999,297.880005,286.5,292.649994,291.859924,49513700
27/02/2020,281.100006,286,272.959991,273.519989,272.781586,79834500
28/02/2020,257.26001,278.410004,256.369995,273.359985,272.622009,106721200
